"geoname","statepostal","fips","seriesid","purpose","year","quarter","value"
"Denton County","TX","48121","P25","Purchase",2021,3,335000
"Denton County","TX","48121","P25","Refinance",2021,3,344000
"Denton County","TX","48121","P25","Both",2021,3,339000
"Denton County","TX","48121","P25","Purchase",2021,4,350000
"Denton County","TX","48121","P25","Refinance",2021,4,350000
"Denton County","TX","48121","P25","Both",2021,4,350000
"Denton County","TX","48121","P25","Purchase",2022,5,400000
"Denton County","TX","48121","P25","Refinance",2022,5,370000
"Denton County","TX","48121","P25","Both",2022,5,390000
"Denton County","TX","48121","P25","Purchase",2022,1,375000
"Denton County","TX","48121","P25","Refinance",2022,1,360000
"Denton County","TX","48121","P25","Both",2022,1,370000
"Denton County","TX","48121","P25","Purchase",2022,2,408000
"Denton County","TX","48121","P25","Refinance",2022,2,380000
"Denton County","TX","48121","P25","Both",2022,2,400000
"Denton County","TX","48121","P25","Purchase",2022,3,409500
"Denton County","TX","48121","P25","Refinance",2022,3,400000
"Denton County","TX","48121","P25","Both",2022,3,405000
"Denton County","TX","48121","P25","Purchase",2022,4,405000
"Denton County","TX","48121","P25","Refinance",2022,4,370000
"Denton County","TX","48121","P25","Both",2022,4,400000
"Denton County","TX","48121","P25","Refinance",2013,5,175000
"Denton County","TX","48121","P25","Both",2013,5,175000
"Denton County","TX","48121","P25","Purchase",2013,1,169000
"Denton County","TX","48121","P25","Refinance",2013,1,178000
"Denton County","TX","48121","P25","Both",2013,1,174000
"Denton County","TX","48121","P25","Purchase",2013,2,177000
"Denton County","TX","48121","P25","Refinance",2013,2,180000
"Denton County","TX","48121","P25","Both",2013,2,178000
"Denton County","TX","48121","P25","Purchase",2013,3,180000
"Denton County","TX","48121","P25","Refinance",2013,3,167000
"Denton County","TX","48121","P25","Both",2013,3,175000
"Denton County","TX","48121","P25","Purchase",2013,4,183000
"Denton County","TX","48121","P25","Refinance",2013,4,167000
"Denton County","TX","48121","P25","Both",2013,4,176800
"Denton County","TX","48121","P25","Purchase",2014,5,191000
"Denton County","TX","48121","P25","Refinance",2014,5,179000
"Denton County","TX","48121","P25","Both",2014,5,188000
"Denton County","TX","48121","P25","Purchase",2014,1,185000
"Denton County","TX","48121","P25","Refinance",2014,1,162000
"Denton County","TX","48121","P25","Both",2014,1,178000
"Denton County","TX","48121","P25","Purchase",2014,2,190000
"Denton County","TX","48121","P25","Refinance",2014,2,170000
"Denton County","TX","48121","P25","Both",2014,2,185000
"Denton County","TX","48121","P25","Purchase",2014,3,193000
"Denton County","TX","48121","P25","Refinance",2014,3,183000
"Denton County","TX","48121","P25","Both",2014,3,190000
"Denton County","TX","48121","P25","Purchase",2014,4,200000
"Denton County","TX","48121","P75","Purchase",2013,5,356000
"Denton County","TX","48121","P75","Refinance",2013,5,346000
"Denton County","TX","48121","P75","Refinance",2013,4,330000
"Denton County","TX","48121","P75","Both",2013,4,360000
"Denton County","TX","48121","P75","Purchase",2014,5,380000
"Denton County","TX","48121","P75","Refinance",2014,5,360000
"Denton County","TX","48121","P75","Both",2014,5,375000
"Denton County","TX","48121","P75","Purchase",2014,1,370000
"Denton County","TX","48121","P75","Refinance",2014,1,346000
"Denton County","TX","48121","P75","Both",2014,1,364000
"Denton County","TX","48121","P75","Purchase",2014,2,370800
"Denton County","TX","48121","P75","Refinance",2014,2,343000
"Denton County","TX","48121","P75","Both",2014,2,365000
"Denton County","TX","48121","P75","Purchase",2014,3,383000
"Denton County","TX","48121","P75","Purchase",2016,4,430000
"Denton County","TX","48121","P75","Refinance",2016,4,415000
"Denton County","TX","48121","P75","Both",2016,4,423000
"Denton County","TX","48121","P75","Purchase",2017,5,446000
"Denton County","TX","48121","P75","Refinance",2017,5,400000
"Denton County","TX","48121","P75","Both",2017,5,430000
"Denton County","TX","48121","P75","Purchase",2017,1,435000
"Denton County","TX","48121","P75","Refinance",2017,1,380000
"Denton County","TX","48121","P75","Both",2017,1,422000
